iter	Passed	Remaining
826	1965	411
827	1967	408
828	1970	406
829	1972	403
830	1974	401
831	1976	399
832	1979	396
833	1981	394
834	1983	391
835	1985	389
836	1988	387
837	2004	387
838	2007	385
839	2009	382
840	2011	380
841	2014	377
842	2016	375
843	2019	373
844	2021	370
845	2023	368
846	2026	366
847	2028	363
848	2030	361
849	2033	358
850	2035	356
851	2038	354
852	2040	351
853	2043	349
854	2045	346
855	2047	344
856	2050	342
857	2052	339
858	2054	337
859	2057	334
860	2059	332
861	2061	330
862	2063	327
863	2065	325
864	2068	322
865	2070	320
866	2072	317
867	2075	315
868	2077	313
869	2079	310
870	2082	308
871	2084	305
872	2086	303
873	2089	301
874	2091	298
875	2093	296
876	2096	293
877	2098	291
878	2100	289
879	2102	286
880	2105	284
881	2107	281
882	2109	279
883	2111	277
884	2114	274
885	2116	272
886	2118	269
887	2121	267
888	2123	265
889	2125	262
890	2128	260
891	2131	258
892	2133	255
893	2135	253
894	2138	250
895	2140	248
896	2142	246
897	2145	243
898	2147	241
899	2149	238
900	2152	236
901	2154	234
902	2156	231
903	2159	229
904	2162	226
905	2164	224
906	2167	222
907	2169	219
908	2172	217
909	2175	215
910	2178	212
911	2180	210
912	2182	207
913	2185	205
914	2187	203
915	2189	200
916	2192	198
917	2194	196
918	2196	193
919	2206	191
920	2208	189
921	2211	187
922	2213	184
923	2215	182
924	2218	179
925	2220	177
926	2222	175
927	2225	172
928	2227	170
929	2229	167
930	2232	165
931	2234	163
932	2237	160
933	2239	158
934	2241	155
935	2244	153
936	2247	151
937	2249	148
938	2251	146
939	2254	143
940	2257	141
941	2259	139
942	2261	136
943	2264	134
944	2266	131
945	2268	129
946	2271	127
947	2273	124
948	2275	122
949	2278	119
950	2280	117
951	2285	115
952	2288	112
953	2291	110
954	2293	108
955	2295	105
956	2297	103
957	2300	100
958	2302	98
959	2304	96
960	2306	93
961	2309	91
962	2311	88
963	2313	86
964	2316	84
965	2318	81
966	2320	79
967	2322	76
968	2325	74
969	2327	71
970	2329	69
971	2332	67
972	2334	64
973	2337	62
974	2339	59
975	2341	57
976	2343	55
977	2345	52
978	2348	50
979	2351	47
980	2353	45
981	2355	43
982	2357	40
983	2360	38
984	2362	35
985	2364	33
986	2367	31
987	2369	28
988	2371	26
989	2373	23
990	2375	21
991	2378	19
992	2382	16
993	2384	14
994	2387	11
995	2389	9
996	2392	7
997	2394	4
998	2397	2
999	2399	0
